date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 30. August 2023,Ich verliere mein Job bald wegen DB…,"Ich verliere mein Job bald wegen DB Verspätungen ,,  danke DB für diese voll schlechte Service . Sie sind nur am entschuldigen.",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Terminator Germany,DE,,
Datum der Erfahrung: 28. August 2023,Absolute Abzocke und Unzuverlässigkeit,Absolute Abzocke und Unzuverlässigkeit. Die Preise sind für eine ICE fahrt  von 50 min die letztenendes 3 Stunden dauert nicht zu tolerieren,2 Bewertungen,Bewertet mit 1 von 5 Sternen,renata kristo,DE,,
Datum der Erfahrung: 19. August 2023,1 Stern,"1 Stern, weil weniger nicht geht. Wir sind Richtung München und zurück gefahren, beide Male ohne Klimaanlage bei 30 Grad- wobei wir auf der Rückfahrt unser Zugabteil wie auch die dort reservierten Plätze nicht fanden, weil diese kurzfristig abgekappt wurden (die Info kam nur von Mitfahrenden). Kein Zug kam pünktlich und 2 Ersatzzüge sind ausgefallen sowie die darauffolgenden Züge. Wir haben uns gefühlt wie im tiefsten Slum keine Ahnung wo. Alles voller als voll. Alles war alt, dreckig und wirklich traurig, wenn man bedenkt dass wir in Deutschland leben. Wäre toll, wenn da mal was erneuert werden würde.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Pia Soltendieck,DE,,
Datum der Erfahrung: 13. August 2023,Saftladen hoch drei,"Wir sind mit dem 49 Euro Ticket von Ulm nach Dresden und zurück bzw. in den neuen Bundesländern mit der Bahn und diversen regionalen Anbietern unterwegs gewesen. Während in den neuen Bundesländern ein super ausgebautes Verkehrsnetz existiert welches außer von Rentnern und ein paar Touristen kaum genutzt wird sah die Lage auf den Kernnetzen der Bahn genau anders herum aus. Wir durften das volle Programm genießen von ausgefallenen Zügen, verspäteten Zügen mit verpasstem Anschluss und überfüllten Zügen mit mehreren Stunden stehen. So ein Saftladen ! Ich kann das schlechte Image der Bahn voll nachvollziehen und auch alle die lieber mit anderen Verkehrsmitteln unterwegs sind. Da klappt erschreckend wenig und mir tun die leid welche auf die Bahn angewiesen sind. Für mich ist zumindest für die nächte Zeit Schluss mit dieser Schande für Deutschland.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Matthias Vintar,DE,,
Datum der Erfahrung: 14. August 2023,Jeder einzelne ICE ist verspätet,"Jeder einzelne ICE ist verspätet. Immer. Von Köln nach München zu reisen ist unmöglich, weil dann plötzlich immer irgendwas nicht stimmt und sich die Fahrt dann immens verzögert. Einmal wegen mangelndem Personal, einmal wegen Weichenstörung, Stellenwerkstörung, Verspätung eines vorausfahrenden Zuges... Die vermiesen einem echt alles. Ich wollte gerade in den Urlaub fahren... Danke deutsche Bahn. Für nichts!",1 Bewertung,Bewertet mit 1 von 5 Sternen,YMI .,DE,,
Datum der Erfahrung: 17. August 2023,Alllllllles schiefgelaufen,"Alllllllles schiefgelaufen, was sollte noch schlimmer sein, außerdem seid ihr einfach verrückt, WEIL wenn die Temperatur draußen angenehm ist, ist eure Klimaanlage an, wenn die Temperatur über 28 liegt, ist die Klimaanlage aus. DB-Personal, seid ihr normal???????????????????",1 Bewertung,Bewertet mit 1 von 5 Sternen,Sazvan Nouman,DE,,
Datum der Erfahrung: 25. August 2023,Minus 1 stern würde es besser treffen !,"Minus 1 stern würde es besser treffen !Mitte Juli das Deutschland Ticket bestellt! 4 Rufnummern angerufen ohne einen Erfolg zu verzeichnen! 1. mail am 3.8.2023 frage ob meine Bestellung durch gegangen ist ?!? Am 4.8.23 geld eingezogen für nicht erhaltenes Ticket ! Hotline Fehlanzeige ! 2. mail sofortiger Entzug der einzugsermächtigung sowie fristlose Kündigung des Tickets wegen nicht erbrachter Leistung ! Keine Reaktion seitens der DB ! Am 9.8.23 da noch immer keine Reaktion oder Bestätigung der Bestellung gekommen ist, Geld zurück geholt ! Am 11.8.23 wurde anscheinend ein Schreiben vom forderungsmanagement verfasst das ich die Überweisung bis zum 22.8.23 zu zahlen habe! Stempel der Post 18.8.23 , Brief Ankunft in meinem Kasten am 23.8.23 ! Also der Brief von Erstellung bis zum Poststempel benötigt 1 woche, wobei die DB als Großunternehmen selber stempelt! Dementsprechend ging der Brief dann am 21.8.23 tatsächlich zur Post ! Fakt natürlich ist die Frist nicht ein zu halten wenn er erst am 23.8.23 um Kasten ist! Umgehend eine mail gesendet= keine Reaktion !!! Rufnummer die auf dem Schreiben steht angerufen, Fehlanzeige da es eine servicehotline ist und somit leider ins leere läuft ! Mal sehen was als Nächstes kommt ! Gerade bei der Hotline für Beschwerden angerufen, würde Sinn ergeben nur Hilfe hat man dort leider auch nicht zu erwarten 😂😂😂 top Dann warten wir mal auf das nächste was da kommt",8 Bewertungen,Bewertet mit 1 von 5 Sternen,Sascha,DE,,
Datum der Erfahrung: 19. August 2023,Also mal ganz im ernst dieses asoziale…,"Also mal ganz im ernst dieses asoziale dre""b""spack bekommt es nicht mal geschissen von A nach B zu fahren ohne eine dicke verspätung wer arbeitet in diesem bumsladen eigentlich, faultiere?",1 Bewertung,Bewertet mit 1 von 5 Sternen,leoanrdo münch,DE,,
Datum der Erfahrung: 25. August 2023,Eine Schande für Deutschland,"Sehr sehr peinlich, ihr kassiert so viel Geld von den Menschen und trotzdem kriegt ihr es nicht hin einmal in eurem Leben pünktlich zu kommen!!Ich kaufe mir dann lieber ein Auto und Klimawandel ist mir sowas von egal…",1 Bewertung,Bewertet mit 1 von 5 Sternen,Abdulsalam Tahhan,DE,,
Datum der Erfahrung: 13. August 2023,Zugfahrt mit Regionalbahn,"Ich bin mit der Regionalbahn von Rostock nach Hamburg gefahren. In Schwerin kam dann die Durchsage, dass die Bahn überfüllt ist und Gäste die nicht reisen müssen gebeten werden auszusteigen, andernfalls wird die Bahn von der Bundespolizei geräumt. Nach 45 Minuten ging es weiter, allerdings nur bis Hamburg Bergedorf wegen Oberleitungsschaden.Ich schreibe diese Bewertung weil ich mir wünsche das Bahn fahren attraktiver wird und ich hoffe das die Bahn sich mit ihren Kundenbewertungen auseinander setzt.",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Katrin,DE,,
