date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 05. September 2023,Totaler Sch3iss,"Totaler Sch3iss, Bahnen fallen aus ohne das irgendwie darauf hingewiesen geschweigedenn sivh entschuldigt wird.0sterne. Gäbe es eine Alternative die für den doppelten preis besser laufen würde, würde ich diese auf jedenfall nehmen .",1 Bewertung,Bewertet mit 1 von 5 Sternen,Tom.,DE,,
Datum der Erfahrung: 10. September 2023,- Sterne geht leider nicht,- Sterne geht leider nicht. Was sich  bei diesem Laden erlaubt wird ist unterste Schublade. Am 10.September fahrt ICE von Berlin nach Hamm gebucht. 18 Uhr 46Zuerst viel der Zug aus. Bei Nachfrage am Schalter ob man auch bei dem Ersatz Zug seinen Sitzplatz einemen kann wurden wir mit den Worten ob wir zu blöde sind abgefertigt. Der Ersatz Zug hatte dann auch noch eine gute Stunde Verspätung. Jede andere Firma wäre bei so einem Verhalten längst Pleite. Und die netten Angestellten entsorgt. Aber wo soll man sich beschweren wenn sich an der Hotline eh keiner meldet. Also alles schön im Sand verlaufen lassen.,1 Bewertung,Bewertet mit 1 von 5 Sternen,N. Menzl,DE,,
Datum der Erfahrung: 10. September 2023,Odyssee,"Unglaublich, nachdem ich schon am Donnerstag durch den Oberleitungsschaden in München nicht nach Hause fahren konnte (Durchsage so knapp, dass ich aus dem Zug nicht mehr aussteigen konnte und bis Wittenberg fahren musste) hab ich heut von Berlin nach Linz fast 10 Stunden gebraucht. (Eigentlich fast 12, Anreise mit der Sbahn nicht mitgerechnet und dann noch vom Linzer Bahnhof nach Hause)In Nürnberg wurden wir von einem Bahngleis zum anderen geschickt, die alten Leute haben ihre Koffer hin und hergeschleppt, kein Bediensteter weit und breit in Sicht, keine hilfreiche Durchsage. Im Zug dann die Durchsage, dass es kein Personal gibt und deshalb nicht weitergefahren werden kann.  Wo gibt's denn sowas, das würd ich gern mal in meiner Arbeit  sagen. Mal schaun was dann passiert.  Jeder dritte Zug ist kaputt.Und nach 2,5 Stunden Warten bei 30 Grad, dann in den eiskalten Zug....wo man dann Geduld haben muss, bis Personal gefunden wird. Dann Freigetränke als Trost, die dann jedoch schnell aus waren...einfach unglaublich.  Die Frage ist nur, ob diese ganzen negativen Postings was ändern. Ich befürchte nicht",1 Bewertung,Bewertet mit 1 von 5 Sternen,HG,AT,,
Datum der Erfahrung: 04. September 2023,Verspätung und unzuverlässig,"Verspätung, Verspätung, Verspätung.Zug bleibt immer wieder eine ganz Weile stehen ohne Infos warum. Ankunftszeit wird aber logischerweise immer später..Wenn man frustfrei Zug fahren möchte kann man dies leider nur außerhalb von Deutschland. Schade.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Jeremias Katscher,DE,,
Datum der Erfahrung: 06. September 2023,Verspätungen sind die Regel,"Man muss immer mit Verspätungen rechnen und muss sich dann meistens auch noch in einen überfüllten Zug mit zu wenig Wagen quetschen, damit man dann auch mal ankommt und nicht noch auf den nächsten verspäteten Zug warten muss",1 Bewertung,Bewertet mit 1 von 5 Sternen,Nik Weischer,DE,,
Datum der Erfahrung: 14. September 2023,Wieder Mal in Senftenberg am Bahnhof…,Wieder Mal in Senftenberg am Bahnhof und dann Verspätung 50minuten einfach nur schlecht,2 Bewertungen,Bewertet mit 1 von 5 Sternen,Anne Köhler,DE,,
Datum der Erfahrung: 07. September 2023,Ich warte nun seit 5 Wochen,"Ich warte nun seit 5 Wochen, auf ein Schülerticket, für meine Tochter, mir wurde Verprochen am Telefon, das man sich Kümmert..... Habe es vor Ende der Sommerferien NRW bestellt. Am Telefon, wir Versprochen, man Kümmert sich, und meldet sich per E-Mail NICHTS.... Meiner Tochter wurde schon ein Bußgeld wegen Schwarzfahrens angedroht.... Sie Fährt mit dem alten Ticket zur Schule, mit Wertmarke aus dem August,,,,,  Bei meinem Sohn, Bezieht sein Ticket über die VKU, ohne Probleme, war vor Schulstart im Briefkasten...... Langsam, bin ich so was von Sauer.......07",8 Bewertungen,Bewertet mit 1 von 5 Sternen,Nicole Breuer,DE,,
Datum der Erfahrung: 07. September 2023,3 Stunden warten am Bahnsteig,"Was man bei der DB ja schon länger kennt sind Verspätungen, bordrestaurant ist geschlossen, das Zugwaggons ausfallen wofür man eine Reservierung hatte kann ich ja noch alles tolerieren! Aber was heute passiert ist  am Münchner HBF geht gar nicht !!!!! Als ich zum Bahnsteig ankam gab es sofort eine Durchsage das es eine Oberleitungsstörung gibt und kein Zug momentan fährt ! Aber diese Durchsage kam immer wieder 3 Std lang! Nach 3 Std konnte man lediglich eine Info online  erhalten das Züge ab Fulda fahren würden, aber am HBF fuhren gar keine Züge egal wohin !!! Es herrschte ein völliges Chaos und es war alles völlig unorganisiert! Ich wollte heute meine Mutter in Kassel zu ihrem 86 jährigen Geburtstag besuchen ! Ich kann jetzt nur hoffen das ich mein Geld zurück bekomme ! Das war’s jetzt für mich mit der DB !!!!!!nie wieder !!!!!",4 Bewertungen,Bewertet mit 1 von 5 Sternen,Carmen ,DE,,
Datum der Erfahrung: 02. September 2023,Drecksverein.,Drecksverein.Zuge sind immer unsauber und Pünklichkeit wird auch nicht so groß geschrieben.,4 Bewertungen,Bewertet mit 1 von 5 Sternen,Not_my_Name,DE,,
Datum der Erfahrung: 14. September 2023,Die schlimmste Firma und Dienstleistung…,"Die schlimmste Firma und Dienstleistung aller Zeiten, ich hasse es unendlich",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Barbarosa Fredrich,DE,,
