date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 05. Juni 2024,Ein großes Lob der Müglitztalbahn,"Ein großes Lob der Müglitztalbahn! Hat auf uns gewartet, trotz Verspätung der S-Bahn um 15 Minuten!Ansonsten hätte es geheißen: 1 Stunde warten bis zur Nächsten!",1 Bewertung,Bewertet mit 5 von 5 Sternen,Ines,DE,,
Datum der Erfahrung: 29. Mai 2024,85 Minuten Verspätung...,85 Minuten Verspätung von Hamburg nach Leipzig. Teils planlose Umleitung ohne Information der Crew. Internetverbindung ist ja in Deutschland generell schlecht. Nie wieder! Nehmt das Auto oder das Flugzeug!!!,1 Bewertung,Bewertet mit 1 von 5 Sternen,Maik Lange,DE,,
Datum der Erfahrung: 03. Juni 2024,Deutsche Bahn verlangt Online Banking Zugangsdaten beim Erwerb eines Deutschlandtickets,"Als ich mein Deutschlandticket, was ich für einen Monat gekündigt hatte, neu erwerben wollte, musste ich feststellen, dass die Deutsche Bahn AG jetzt die Online Banking Daten beim Neukauf über ein Drittunternehmen abfragen möchte. Selbstverständlich gebe ich meine Zugangsdaten nicht preis, zumal meine Bank davon ausdrücklich abrät.Als Alternative bot man mir eine Kopie meines Personalausweises an. Auch das ist laut § 20 Absatz 2 des Personalausweisgesetzes nicht gestattet. Auf dem Online Portal der Deutschen Bahn steht:Sie können das Deutschland-Ticket online, in der App DB Navigator und in der App DB Streckenagent erwerben, sowie deutschlandweit in den DB Reisezentren. Also, bin ich zu meinem DB Reisezentrum, wo man mir allerdings sagte, dass das Deutschlandticket dort nur noch an Minderjährige verkauft wird.Auf meine Nachfrage hin, warum die Deutsche Bahn ohnehin die Zugangsdaten meines Online Bankings haben möchte, sagte die Mitarbeiterin, dass man ja nicht wissen würde, ob ich zahlungsfähig sei und so Konteneinsicht erlangen würde.Ich werde mich mit meiner Bank und meinem Anwalt in Verbindung setzen und diese Vorgehensweise rechtlich abklären lassen. Was verlangt euer Verein als nächstes? Schufa Auskunft? Lachhaft und kriminell.Ich habe das Deutschlandticket jetzt über einen anderen Anbieter erworben. War mit App Installation in 5 Minuten erledigt, da meine Kreditkarte dort als ""Bonitätsnachweis"" genügte. ",1 Bewertung,Bewertet mit 1 von 5 Sternen,Anja B.,DE,,
Datum der Erfahrung: 29. Mai 2024,Ein Stern ist zu viel,"Ein Stern ist zu viel. Hoffentlich wird der Konzern bald abgesetzt, damit eine vernünftige Firma übernimmt. Dass so ein krimineller Verein überhaupt existieren darf und der Staat nicht eingreift ist komplett unfassbar.",4 Bewertungen,Bewertet mit 1 von 5 Sternen,david michielsen,DE,,
Datum der Erfahrung: 27. Mai 2024,Völlig planlos!,"Das Unternehmen ist nicht reformierbar. Schienen kaputt, Stellwerke aus dem letzten Jahrtausend, schlecht gewartete Züge und hoffnungslos irrlichterndes Personal. Es gibt offenbar keinerlei Risikobetrachtung und -bewältigung. die Bahn ist ein infrastrukturelles Klumpenrisiko.Netz und Betrieb gehören getrennt und in die Hände von Fachleuten. Aufgaben dezentralisiert. Und auf der Schiene muss echte Konkurrenz her. ",1 Bewertung,Bewertet mit 1 von 5 Sternen,Robert Klaus,DE,,
Datum der Erfahrung: 23. Mai 2024,Auch mal etwas positives zur DB....,Wir haben per Bahnticket online für einen guten Freund ein günstiges Bahnticket erstanden . Diesmal verlief die Reise sehr angenehm und entspannend. Die Züge waren pünktlich und sauber und angenehm klimatisiert.Also alles io. . Wir haben schon schlechte Erfahrungen gemacht mit der DB. Böse Beurteilungen geschrieben .Aber diesmal war alles perekt und zur vollen Zufriedenheit. Auch das soll anerkannt werden .,11 Bewertungen,Bewertet mit 4 von 5 Sternen,PETER Kott,DE,,
Datum der Erfahrung: 28. Mai 2024,"Natürlich, hier ist eine passende Überschrift für die Bewertung:  ""Enttäuschender Kundenservice und Ineffizienz bei der DEUTSCHEN BAHN: Unprofessionelles Inkassoverfahren und mangelnde Servicequalität","**Bewertung: ★☆☆☆☆**Ich bin äußerst enttäuscht von der DEUTSCHEN BAHN und ihrem Umgang mit Kunden. Nachdem ich ein Inkassoschreiben erhalten habe, das auf angebliche unbezahlte Forderungen hinweist, wandte ich mich an die Deutsche Bahn, um eine Klärung zu erhalten. Doch anstatt mir zu helfen, wurde ich einfach an das Inkassounternehmen zurückverwiesen.Es ist inakzeptabel, dass die Deutsche Bahn offensichtlich versucht, ihre Kunden auf jede erdenkliche Weise abzuzocken. Zudem sind die meisten Bahnverbindungen ständig verspätet, die Züge sind schmutzig, die Bahnhöfe vernachlässigt und das Personal oft gestresst und unfreundlich.Ich erwarte von einem Unternehmen von dieser Größe und Bedeutung deutlich besseren Kundenservice und Professionalität. Es ist höchste Zeit, dass die Deutsche Bahn ihre Prioritäten überdenkt und sich ernsthaft um die Zufriedenheit ihrer Kunden bemüht.",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Hildenberg ,DE,,
Datum der Erfahrung: 17. Mai 2024,Was ist dieses Mal schiefgegangen?Alles!,"Was ist dieses Mal schiefgegangen? ALLES!!!Die deutsche Bahn ist widerlich. Alle Züge zu spät, oder gar nicht, marodierende Horden, keine Ansagen mehr, nur auf massiven Druck ein Taxigutschein, der die  Kosten des Taxifahrers nicht deckt, idiotische Ausreden, alles was ich hier lese. Die DB reibt sich die Hände. Verdienst durch Leistungsverweigerung. Ekelhaft!",1 Bewertung,Bewertet mit 1 von 5 Sternen,Steve deThrill,DE,,
Datum der Erfahrung: 17. Mai 2024,Schmerzhaft schlechte Dienstleistung,"An manchen Tagen nervt das Reisen/ Pendeln mit den Öffentlichen und der DB einfach, manchmal raubt es aber auch den letzten Nerv. Heute letzteres :(( Ständig verpasste Anschlüsse, Weichenstörungen, Zugausfälle, Halteausfälle, dann wieder sinnloses Warten. Wann endlich hat das ein Ende? Ohne eine intakte Schienen-Infrastruktur erreichen wir unsere Klimaziele nie 😮‍💨Wer hat hier versagt? Die Politik oder das Unternehmen? Oder beide? Sehr schmerzhaft 😣 ",3 Bewertungen,Bewertet mit 1 von 5 Sternen,david,DE,,
Datum der Erfahrung: 28. Mai 2024,Toiletten sind absolut nicht sauber…,Toiletten sind absolut nicht sauber !!!!!!!!!!Wie ekelhaft kann man sein da muss doch mal eine Firma an den Hauptbahnhöfen durch putzen 😡😡😡😡Abgesehen von den ständigen Verspätungen 😡,1 Bewertung,Bewertet mit 1 von 5 Sternen,Marcello Papalia,DE,,
